rank	score	repo	path	url	hits	source_file
1	30	Kong/lua-resty-aws	src/resty/aws/request/signatures/utils.lua	https://github.com/Kong/lua-resty-aws/blob/a73c39cb676c481f42943da28253fda225ed39ec/src/resty/aws/request/signatures/utils.lua	high:sign,high:signature,high:request	05_openssl_final_update_language_lua.json
2	30	haproxytech/haproxy-lua-oauth	lib/jwtverify.lua	https://github.com/haproxytech/haproxy-lua-oauth/blob/f474c9eb6c240d50210f812f010c4db63e057f59/lib/jwtverify.lua	high:auth,high:verify,high:jwt	05_openssl_final_update_language_lua.json
3	20	apache/apisix	apisix/plugins/jwt-auth/parser.lua	https://github.com/apache/apisix/blob/73bc3a436510044ad9bcd8ee6210b36f7d6db435/apisix/plugins/jwt-auth/parser.lua	high:auth,high:jwt	05_openssl_final_update_language_lua.json
4	15	SGU-K22C4/CNLTHD26K1_Nhom9	docker/kong/plugins/jwt-auth/handler.lua	https://github.com/SGU-K22C4/CNLTHD26K1_Nhom9/blob/3ffdd57c3b2b3921b5618c0da8f2aaa1d420f605/docker/kong/plugins/jwt-auth/handler.lua	high:auth,high:jwt,low:doc	05_openssl_final_update_language_lua.json
5	14	Kong/kong	kong/plugins/hmac-auth/access.lua	https://github.com/Kong/kong/blob/7772bd8b3125a57fe457b9e5947faa3f3bdf59bc/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac	02_openssl_mac_language_lua.json
6	14	Mohammed-Kamel-Frost-32/https-github.com-Kong-kong.	kong/plugins/hmac-auth/access.lua	https://github.com/Mohammed-Kamel-Frost-32/https-github.com-Kong-kong./blob/358fff3869ce330880827a947db8bac3b5066215/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac	02_openssl_mac_language_lua.json
7	14	epam/edp-ddm-kong	kong/kong/plugins/hmac-auth/access.lua	https://github.com/epam/edp-ddm-kong/blob/8d902b91b21be4ecae17a057c0038d6749583c2f/kong/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac	05_openssl_final_update_language_lua.json
8	14	gridgentoo/kong	kong/plugins/hmac-auth/access.lua	https://github.com/gridgentoo/kong/blob/0d515188400b83fd05ba510bfa55698a3992d08c/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac	05_openssl_final_update_language_lua.json
9	14	inclavare-containers/kong_coco	kong/plugins/hmac-auth/access.lua	https://github.com/inclavare-containers/kong_coco/blob/f1de9ad8bc71f320325e6090bd472e177f6d88b0/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac	02_openssl_mac_language_lua.json
10	14	mbarnes-code/expert-dollop	infrastructure/kong/kong/plugins/hmac-auth/access.lua	https://github.com/mbarnes-code/expert-dollop/blob/b4e2292a7f1027bed626dd74dcf58ce7a5864c92/infrastructure/kong/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac	02_openssl_mac_language_lua.json
11	14	wujiapei/alldata	dataGovern/kong-versions/kong-2.6.0/kong/plugins/hmac-auth/access.lua	https://github.com/wujiapei/alldata/blob/f682728ea2f19c2cc935976bbbde8165358a11c2/dataGovern/kong-versions/kong-2.6.0/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac	05_openssl_final_update_language_lua.json
12	10	LeXinshou/AlokMedia	libs/WebSession.lua	https://github.com/LeXinshou/AlokMedia/blob/4f915e7fc66fd8c2053472dd969dee449c857cc5/libs/WebSession.lua	high:session	03_require_openssl_language_lua.json
13	10	LeXinshou/WebSessionLua	WebSession.lua	https://github.com/LeXinshou/WebSessionLua/blob/ed36b84bdf0aed217b4301be2107ac36266cbdfe/WebSession.lua	high:session	03_require_openssl_language_lua.json
14	10	Masken8/Studify-Server	main.lua	https://github.com/Masken8/Studify-Server/blob/585cf6f520ec75c016364b9b3090fc50f03f9099/main.lua	high:server	03_require_openssl_language_lua.json
15	10	NickIsADev/erlua	libs/client/Client.lua	https://github.com/NickIsADev/erlua/blob/474155ae4a1ca76e9cbf5bb2b0b817405a4d8b06/libs/client/Client.lua	high:client	03_require_openssl_language_lua.json
16	10	Olivine-Labs/lua-jwt	src/jwt/utils.lua	https://github.com/Olivine-Labs/lua-jwt/blob/cd66386f0eab90333ae905234363c4591e9f035e/src/jwt/utils.lua	high:jwt	07_hmac_openssl_final_language_lua.json
17	10	Optum/kong-upstream-jwt	src/access.lua	https://github.com/Optum/kong-upstream-jwt/blob/2035ded48dffcb67f790f248d715b77b571ae873/src/access.lua	high:jwt	05_openssl_final_update_language_lua.json
18	10	SkylarPlayz348/lua-Spore	src/Spore/Middleware/Auth/OAuth.lua	https://github.com/SkylarPlayz348/lua-Spore/blob/bc6e77d3b6589d87ef142759664b619b41a5e871/src/Spore/Middleware/Auth/OAuth.lua	high:auth	07_hmac_openssl_final_language_lua.json
19	10	TencentBlueKing/bk-ci	src/gateway/core/lua/resty/jwt.lua	https://github.com/TencentBlueKing/bk-ci/blob/6a8b718a075922c0e5640ae92b125ed1ca111e6b/src/gateway/core/lua/resty/jwt.lua	high:jwt	07_hmac_openssl_final_language_lua.json
20	10	VoidCosmo/waspsaliva	clientmods/wisp/init.lua	https://github.com/VoidCosmo/waspsaliva/blob/9e8c1c9bce9be02c5a259635a09b8ad939afa4ba/clientmods/wisp/init.lua	high:client	03_require_openssl_language_lua.json
21	10	ZTE-AICloud/Co-TAP	code/UAP/uapgateway/kong/plugins/jwt/jwt_parser.lua	https://github.com/ZTE-AICloud/Co-TAP/blob/b7670a2ea05c3d33d9d7a726c515df862853bbd3/code/UAP/uapgateway/kong/plugins/jwt/jwt_parser.lua	high:jwt	02_openssl_mac_language_lua.json
22	10	apache/apisix	apisix/plugins/cas-auth.lua	https://github.com/apache/apisix/blob/73bc3a436510044ad9bcd8ee6210b36f7d6db435/apisix/plugins/cas-auth.lua	high:auth	02_openssl_mac_language_lua.json
23	10	bencejdanko/uber-eats-clone-v1	middleware/kong/plugins/jwt/jwt_parser.lua	https://github.com/bencejdanko/uber-eats-clone-v1/blob/31b62b206280f48c2679b83d271b12b24f72f6e2/middleware/kong/plugins/jwt/jwt_parser.lua	high:jwt	02_openssl_mac_language_lua.json
24	10	bungle/lua-resty-session	lib/resty/session/utils.lua	https://github.com/bungle/lua-resty-session/blob/505ff720957f61f2ecd2e6e9fe11c66530a42807/lib/resty/session/utils.lua	high:session	07_hmac_openssl_final_language_lua.json
25	10	cyrilis/luvit-mooncake	libs/cookie.lua	https://github.com/cyrilis/luvit-mooncake/blob/dfaddc244eb9c4b4b3c8b37d5714d25d0a61f036/libs/cookie.lua	high:cookie	03_require_openssl_language_lua.json
26	10	epam/edp-ddm-kong	kong/kong/plugins/jwt/jwt_parser.lua	https://github.com/epam/edp-ddm-kong/blob/8d902b91b21be4ecae17a057c0038d6749583c2f/kong/kong/plugins/jwt/jwt_parser.lua	high:jwt	05_openssl_final_update_language_lua.json
27	10	inclavare-containers/kong_coco	kong/plugins/jwt/jwt_parser.lua	https://github.com/inclavare-containers/kong_coco/blob/f1de9ad8bc71f320325e6090bd472e177f6d88b0/kong/plugins/jwt/jwt_parser.lua	high:jwt	02_openssl_mac_language_lua.json
28	10	mbarnes-code/expert-dollop	infrastructure/kong/kong/plugins/jwt/jwt_parser.lua	https://github.com/mbarnes-code/expert-dollop/blob/b4e2292a7f1027bed626dd74dcf58ce7a5864c92/infrastructure/kong/kong/plugins/jwt/jwt_parser.lua	high:jwt	02_openssl_mac_language_lua.json
29	10	openresty/lua-resty-mysql	lib/resty/mysql/auth_ed25519.lua	https://github.com/openresty/lua-resty-mysql/blob/3af1b39d9f96579efe14d6a447c3d2c163a71b7d/lib/resty/mysql/auth_ed25519.lua	high:auth	05_openssl_final_update_language_lua.json
30	10	scmp-contributor/kong-jwt-custom	jwt_parser.lua	https://github.com/scmp-contributor/kong-jwt-custom/blob/e7c4f019b5b7265f18c4ca9fcc1ffabc6d0f6147/jwt_parser.lua	high:jwt	07_hmac_openssl_final_language_lua.json
31	10	wolfiestyle/oauth_light	src/oauth_light.lua	https://github.com/wolfiestyle/oauth_light/blob/2c0bd385d0ed99601e9fe046b159804d7bd0c991/src/oauth_light.lua	high:auth	05_openssl_final_update_language_lua.json
32	10	wujiapei/alldata	dataGovern/kong-versions/kong-2.6.0/kong/plugins/jwt/jwt_parser.lua	https://github.com/wujiapei/alldata/blob/f682728ea2f19c2cc935976bbbde8165358a11c2/dataGovern/kong-versions/kong-2.6.0/kong/plugins/jwt/jwt_parser.lua	high:jwt	05_openssl_final_update_language_lua.json
33	10	xpcall/less-fail-lua-webserver	sql.lua	https://github.com/xpcall/less-fail-lua-webserver/blob/c6362e9681075e9a0f0406785c9f0ab971850167/sql.lua	high:server	04c_update_final_language_lua_broad.json
34	10	znuh/frivpn	frivpn_client.lua	https://github.com/znuh/frivpn/blob/858a3a3722ceb688b800ce43d7de5e75890da73a/frivpn_client.lua	high:client	05_openssl_final_update_language_lua.json
35	9	DemonLee0719/kong-mysql-support-1.3.0	kong/plugins/hmac-auth/access.lua	https://github.com/DemonLee0719/kong-mysql-support-1.3.0/blob/f5b9f4f2ba04bfb17dcd775aa3a775c31be49412/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac,low:demo	05_openssl_final_update_language_lua.json
36	9	yuelicn/docker-kong	kong/kong/plugins/hmac-auth/access.lua	https://github.com/yuelicn/docker-kong/blob/1f5c7501e75f2312b3797ba238a2d76eabbf475f/kong/kong/plugins/hmac-auth/access.lua	high:auth,medium:hmac,low:doc	05_openssl_final_update_language_lua.json
37	5	bagua99/xserver	3rd/lua-openssl-master/ldoc/digest.lua	https://github.com/bagua99/xserver/blob/7f030b9582ea42b0ecb8ee684a3c36dcc36c4a04/3rd/lua-openssl-master/ldoc/digest.lua	high:server,low:doc	05_openssl_final_update_language_lua.json
38	4	AhmedELShafaie/aiops-agent	infra/nginx/hmac_access.lua	https://github.com/AhmedELShafaie/aiops-agent/blob/366858a2e6c29818786dfad90bcb54f89bdee41f/infra/nginx/hmac_access.lua	medium:hmac	05_openssl_final_update_language_lua.json
39	4	PSandro/kong-nexudus-webhook-hmac	kong/plugins/nx-wh-hmac/handler.lua	https://github.com/PSandro/kong-nexudus-webhook-hmac/blob/460cf21db6c040e2830fc0194d6f904649a1dea7/kong/plugins/nx-wh-hmac/handler.lua	medium:hmac	02_openssl_mac_language_lua.json
40	4	TencentBlueKing/bk-ci	src/gateway/core/lua/resty/openssl/hmac.lua	https://github.com/TencentBlueKing/bk-ci/blob/6a8b718a075922c0e5640ae92b125ed1ca111e6b/src/gateway/core/lua/resty/openssl/hmac.lua	medium:hmac	05_openssl_final_update_language_lua.json
41	4	ami-megarac/OSSW-v13-update-11.00	Core/LTS-v13/Modified_OpenSource/libluaturbo-src/turbo/hash.lua	https://github.com/ami-megarac/OSSW-v13-update-11.00/blob/39d978fbe785a003840cf2c6ce80ad95103458d4/Core/LTS-v13/Modified_OpenSource/libluaturbo-src/turbo/hash.lua	medium:update	07_hmac_openssl_final_language_lua.json
42	4	ami-megarac/OSSW-v13-update-8.00	TechnologyPack/redfish/LTS-v13/Modified_OpenSource/libluaturbo-src/turbo/hash.lua	https://github.com/ami-megarac/OSSW-v13-update-8.00/blob/ff50c8b2623e90c400f2c06855290a4f7731641c/TechnologyPack/redfish/LTS-v13/Modified_OpenSource/libluaturbo-src/turbo/hash.lua	medium:update	07_hmac_openssl_final_language_lua.json
43	4	bunkerity/bunkerweb	src/deps/src/lua-resty-openssl/lib/resty/openssl/hmac.lua	https://github.com/bunkerity/bunkerweb/blob/515efe94ab3982e6ab01768fb1ff46d3871c1b95/src/deps/src/lua-resty-openssl/lib/resty/openssl/hmac.lua	medium:hmac	07_hmac_openssl_final_language_lua.json
44	4	javalikescript/luajls	jls/util/md/hmac-openssl.lua	https://github.com/javalikescript/luajls/blob/9c2613e6ee1799b156145df32fc14b8a34b05233/jls/util/md/hmac-openssl.lua	medium:hmac	07_hmac_openssl_final_language_lua.json
45	4	modulomedito/rookie_toys.nvim	lua/rookie_toys/rk_cmac.lua	https://github.com/modulomedito/rookie_toys.nvim/blob/985e1ad5728e62f1f4964940ec8778662d15ff47/lua/rookie_toys/rk_cmac.lua	medium:cmac	06_cmac_openssl_language_lua.json
46	4	mpazdzioch/llamacpp-webui-glue	openresty/app/lib/resty/openssl/hmac.lua	https://github.com/mpazdzioch/llamacpp-webui-glue/blob/d8446b8861bf00e82ece061df0fe6baaa81be456/openresty/app/lib/resty/openssl/hmac.lua	medium:hmac	05_openssl_final_update_language_lua.json
47	0	0xf0f/reaper-api	gfx.lua	https://github.com/0xf0f/reaper-api/blob/7f2f380d89025c121d596fe07ccf6de5b95b69f1/gfx.lua		04c_update_final_language_lua_broad.json
48	0	9551-Dev/GEMU	gemu.lua	https://github.com/9551-Dev/GEMU/blob/735107f9a8f493acc1b10af29102021f0d664719/gemu.lua		04c_update_final_language_lua_broad.json
49	0	AlainDevs/lau-resty-flowradix	resty/openssl.lua	https://github.com/AlainDevs/lau-resty-flowradix/blob/b93e8857c7fd93030a738d521f109307f7aa6f78/resty/openssl.lua		02_openssl_mac_language_lua.json
50	0	AlexBezuska/exoplanet-1993	desk.lua	https://github.com/AlexBezuska/exoplanet-1993/blob/4e5895850ba54b4ea8d244a27b1fe56af6e1b5a9/desk.lua		04c_update_final_language_lua_broad.json
