rank	score	repo	path	url	hits	source_file
1	36	Kong/lua-resty-aws	src/resty/aws/request/signatures/utils.lua	https://github.com/Kong/lua-resty-aws/blob/a73c39cb676c481f42943da28253fda225ed39ec/src/resty/aws/request/signatures/utils.lua	security:signature,security:request,security:sign	11_openssl_hmac_final_lua.json
2	36	xiaomastack/kong-plugin-upstream-auth-signature	kong/plugins/upstream-auth-signature/handler.lua	https://github.com/xiaomastack/kong-plugin-upstream-auth-signature/blob/a7ffccd3b200e497ac99765c0c01c707f5194689/kong/plugins/upstream-auth-signature/handler.lua	security:auth,security:signature,security:sign	11_openssl_hmac_final_lua.json
3	24	DistributedSystemsProject/AuthorizationServer	server.lua	https://github.com/DistributedSystemsProject/AuthorizationServer/blob/832c465bf04126f56194ca1b9b23a1e2087c6b75/server.lua	security:auth,security:server	11_openssl_hmac_final_lua.json
4	24	LEGO/kong-aws-request-signing	kong/plugins/aws-request-signing/sigv4.lua	https://github.com/LEGO/kong-aws-request-signing/blob/197aaccbe5b1f6ee44d0274c77ed9670acfedc1b/kong/plugins/aws-request-signing/sigv4.lua	security:request,security:sign	11_openssl_hmac_final_lua.json
5	24	ThruInc/haproxy-lua-oauth	lib/jwtverify.lua	https://github.com/ThruInc/haproxy-lua-oauth/blob/d304b7f52af46abe909932e00639890968ee4947/lib/jwtverify.lua	security:auth,security:verify	11_openssl_hmac_final_lua.json
6	24	carnei-ro/kong-plugin-oauth-jwt-signer	resty-script.lua	https://github.com/carnei-ro/kong-plugin-oauth-jwt-signer/blob/a72bf268f886e09f22994763d9e78d5a85921a7d/resty-script.lua	security:auth,security:sign	11_openssl_hmac_final_lua.json
7	24	haproxytech/haproxy-lua-oauth	lib/jwtverify.lua	https://github.com/haproxytech/haproxy-lua-oauth/blob/f474c9eb6c240d50210f812f010c4db63e057f59/lib/jwtverify.lua	security:auth,security:verify	12_openssl_digest_final_lua.json
8	15	orlabs/orange	orange/plugins/hmac_auth/handler.lua	https://github.com/orlabs/orange/blob/8c254d92f4ef3b3c9448166e798ec4a7d98395d8/orange/plugins/hmac_auth/handler.lua	security:auth,assoc:hmac	11_openssl_hmac_final_lua.json
9	15	starjiang/xorange	orange/plugins/hmac_auth/handler.lua	https://github.com/starjiang/xorange/blob/2dcc5d4e70e3271cf414609eb7d201d2a1cd0705/orange/plugins/hmac_auth/handler.lua	security:auth,assoc:hmac	11_openssl_hmac_final_lua.json
10	12	GustavoMartins123/supabase-multitenant	studio/nginx/lua/auth/check_push_worker.lua	https://github.com/GustavoMartins123/supabase-multitenant/blob/f2015d2bef71ab9f551133c53fa1390f37f6a45b/studio/nginx/lua/auth/check_push_worker.lua	security:auth	12_openssl_digest_final_lua.json
11	12	Optum/kong-oidc-auth	src/access.lua	https://github.com/Optum/kong-oidc-auth/blob/3c09ed8991b4bb1f0831fbfc41e4d21ff9cd20fd/src/access.lua	security:auth	12_openssl_digest_final_lua.json
12	12	apache/apisix	apisix/plugins/jwt-auth/parser.lua	https://github.com/apache/apisix/blob/73bc3a436510044ad9bcd8ee6210b36f7d6db435/apisix/plugins/jwt-auth/parser.lua	security:auth	12_openssl_digest_final_lua.json
13	12	bagua99/xserver	3rd/lua-openssl-master/lib/crypto.lua	https://github.com/bagua99/xserver/blob/7f030b9582ea42b0ecb8ee684a3c36dcc36c4a04/3rd/lua-openssl-master/lib/crypto.lua	security:server	11_openssl_hmac_final_lua.json
14	12	benoit-pierre/lua-Spore	src/Spore/Middleware/Auth/AWS.lua	https://github.com/benoit-pierre/lua-Spore/blob/8501954d6e24435ed0e3286bcddeaeb3daa00943/src/Spore/Middleware/Auth/AWS.lua	security:auth	11_openssl_hmac_final_lua.json
15	12	bungle/lua-resty-session	lib/resty/session/utils.lua	https://github.com/bungle/lua-resty-session/blob/505ff720957f61f2ecd2e6e9fe11c66530a42807/lib/resty/session/utils.lua	security:session	12_openssl_digest_final_lua.json
16	12	bunkerity/bunkerweb	src/deps/src/lua-resty-session/lib/resty/session/utils.lua	https://github.com/bunkerity/bunkerweb/blob/515efe94ab3982e6ab01768fb1ff46d3871c1b95/src/deps/src/lua-resty-session/lib/resty/session/utils.lua	security:session	11_openssl_hmac_final_lua.json
17	12	contactkc/luairc	client/auth.lua	https://github.com/contactkc/luairc/blob/cc4ba0341fcb1cb106a111b52add1f0f71a6c416/client/auth.lua	security:auth	12_openssl_digest_final_lua.json
18	12	hisdream86/nginx-sqs-proxy	lua/aws_auth.lua	https://github.com/hisdream86/nginx-sqs-proxy/blob/21597049d4b42c6e7b7ae52d64d6a29f71caca12/lua/aws_auth.lua	security:auth	13_require_openssl_hmac_final_lua.json
19	12	jest9/cookie-mangle-haproxy	mangler.lua	https://github.com/jest9/cookie-mangle-haproxy/blob/9c0eaa02afea9bff17fbd9c1a498aacf720b0341/mangler.lua	security:cookie	12_openssl_digest_final_lua.json
20	12	keaSystemIntegration/gift-wishing	haproxy/authorization.lua	https://github.com/keaSystemIntegration/gift-wishing/blob/33e2ffda7e3be7e6ed4ba31f5c39d97f015b1ff4/haproxy/authorization.lua	security:auth	11_openssl_hmac_final_lua.json
21	12	leafo/lapis	lapis/spec/request.lua	https://github.com/leafo/lapis/blob/d8a473247ae5883d92e1ce18a7322e1dd71c95ec/lapis/spec/request.lua	security:request	12_openssl_digest_final_lua.json
22	12	mubix/tools	nmap/nselib/smbauth.lua	https://github.com/mubix/tools/blob/d773ea2e252d15f9a794721940b0265af9943bf6/nmap/nselib/smbauth.lua	security:auth	11_openssl_hmac_final_lua.json
23	12	nordeck/nginx-jwt-auth	nginx-jwt-auth.lua	https://github.com/nordeck/nginx-jwt-auth/blob/9f883afb20681db94d6d45009bd2e88697545b2e/nginx-jwt-auth.lua	security:auth	11_openssl_hmac_final_lua.json
24	12	pineapple-pager-projects/pineapple_pager_loki	payloads/user/reconnaissance/loki/share/nmap/nselib/smbauth.lua	https://github.com/pineapple-pager-projects/pineapple_pager_loki/blob/36dc9fe51dc6a46ac77c603750e2a0035d5bc76c/payloads/user/reconnaissance/loki/share/nmap/nselib/smbauth.lua	security:auth	11_openssl_hmac_final_lua.json
25	12	riskprofiler/CloudFrontier	analyzers/submit/nmap-dir/nselib/smbauth.lua	https://github.com/riskprofiler/CloudFrontier/blob/7ae2ae2d8a0e40f870b2509cab48e89808b8a39c/analyzers/submit/nmap-dir/nselib/smbauth.lua	security:auth	11_openssl_hmac_final_lua.json
26	12	semyon422/aqua	web/framework/Sessions.lua	https://github.com/semyon422/aqua/blob/99bf615faa9014e625cb3730b7f57efe1851c1ed/web/framework/Sessions.lua	security:session	11_openssl_hmac_final_lua.json
27	12	tux-mind/platform_external_nmap	nselib/smbauth.lua	https://github.com/tux-mind/platform_external_nmap/blob/f927a87e26fbbc57604739cd2a7ea43714469a90/nselib/smbauth.lua	security:auth	11_openssl_hmac_final_lua.json
28	12	woodsts/cgit	filters/file-authentication.lua	https://github.com/woodsts/cgit/blob/044821677c774cd24f25f1818ea51d09cc64b006/filters/file-authentication.lua	security:auth	11_openssl_hmac_final_lua.json
29	12	woodsts/cgit	filters/gentoo-ldap-authentication.lua	https://github.com/woodsts/cgit/blob/044821677c774cd24f25f1818ea51d09cc64b006/filters/gentoo-ldap-authentication.lua	security:auth	11_openssl_hmac_final_lua.json
30	12	woodsts/cgit	filters/simple-authentication.lua	https://github.com/woodsts/cgit/blob/044821677c774cd24f25f1818ea51d09cc64b006/filters/simple-authentication.lua	security:auth	11_openssl_hmac_final_lua.json
31	3	AhmedELShafaie/aiops-agent	infra/nginx/hmac_access.lua	https://github.com/AhmedELShafaie/aiops-agent/blob/366858a2e6c29818786dfad90bcb54f89bdee41f/infra/nginx/hmac_access.lua	assoc:hmac	11_openssl_hmac_final_lua.json
32	3	GustavoMartins123/supabase-multitenant	studio/nginx/lua/utils/hmac_sha256.lua	https://github.com/GustavoMartins123/supabase-multitenant/blob/f2015d2bef71ab9f551133c53fa1390f37f6a45b/studio/nginx/lua/utils/hmac_sha256.lua	assoc:hmac	11_openssl_hmac_final_lua.json
33	3	akornatskyy/lucid	src/security/crypto/digest.lua	https://github.com/akornatskyy/lucid/blob/ab8015f08f5af9aea6dfc58afc8cecd634267cd8/src/security/crypto/digest.lua	assoc:digest	12_openssl_digest_final_lua.json
34	3	brightwang/kong-upstream-hmac	src/access.lua	https://github.com/brightwang/kong-upstream-hmac/blob/2d1b46fab87947b8dbd2a22e99f92b94337e9a6c/src/access.lua	assoc:hmac	11_openssl_hmac_final_lua.json
35	3	thenumbernine/lua-websocket	digest.lua	https://github.com/thenumbernine/lua-websocket/blob/b8bad96e3c5ae19352417c9b255a4e55150d972d/digest.lua	assoc:digest	12_openssl_digest_final_lua.json
36	2	SynologyOpenSource/ExamplePackages	nmap/nselib/smbauth.lua	https://github.com/SynologyOpenSource/ExamplePackages/blob/d2849c6fcf14ce72007d14e99a362c3d4f23be0a/nmap/nselib/smbauth.lua	security:auth,low:example	11_openssl_hmac_final_lua.json
37	0	AgoraIO/Tools	DynamicKey/AgoraDynamicKey/lua/src/utils.lua	https://github.com/AgoraIO/Tools/blob/374cd21f5220d2c921ec903c1eae2ee1464be651/DynamicKey/AgoraDynamicKey/lua/src/utils.lua		11_openssl_hmac_final_lua.json
38	0	Azerothwav/LuaW	libs/jwt.lua	https://github.com/Azerothwav/LuaW/blob/94089c4cb659871377494ab3adb604739649429c/libs/jwt.lua		11_openssl_hmac_final_lua.json
39	0	DarkWiiPlayer/restia	restia/secret.lua	https://github.com/DarkWiiPlayer/restia/blob/7c37320c3c6eaf015819d44bffef9acb48dd9c2a/restia/secret.lua		12_openssl_digest_final_lua.json
40	0	DemonLee0719/kong-mysql-support-1.3.0	kong/plugins/jwt/jwt_parser.lua	https://github.com/DemonLee0719/kong-mysql-support-1.3.0/blob/f5b9f4f2ba04bfb17dcd775aa3a775c31be49412/kong/plugins/jwt/jwt_parser.lua		11_openssl_hmac_final_lua.json
41	0	MrE-Fog/aes-everywheree	lua/src/aes256.lua	https://github.com/MrE-Fog/aes-everywheree/blob/a2490be5ea62ea8877664587f15688b44ff6b799/lua/src/aes256.lua		12_openssl_digest_final_lua.json
42	0	ParrotSec/nmap	scripts/nping-brute.nse	https://github.com/ParrotSec/nmap/blob/4e6ecd2e2e51c23fcb1e64e2b88098e81577af00/scripts/nping-brute.nse		12_openssl_digest_final_lua.json
43	0	RagnarokResearchLab/RagLite	Tools/dump-grf-file-list.lua	https://github.com/RagnarokResearchLab/RagLite/blob/d1ce2b1e2136c46b1409d5c6701f64d7c3cddaf9/Tools/dump-grf-file-list.lua		12_openssl_digest_final_lua.json
44	0	RealTimeLogic/BAS-Resources	src/opcua/openssl.lua	https://github.com/RealTimeLogic/BAS-Resources/blob/4669b9f234dbe086ffd97838c31f32072e8e0d9b/src/opcua/openssl.lua		12_openssl_digest_final_lua.json
45	0	RyanSquared/bassoon	bassoon/init.lua	https://github.com/RyanSquared/bassoon/blob/a163c2f987188886e4396cf29353ea2effa65e94/bassoon/init.lua		11_openssl_hmac_final_lua.json
