command_id,command,input_kind,input_case,command_name,exit_code,stdout_nonempty,stderr_nonempty,output_file_created,accepted,verdict,stderr_excerpt
1,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/baseline_valid.der -noout,csr_der,baseline,req_noout,0,False,False,False,True,baseline_success,
2,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/baseline_valid.der -text -noout,csr_der,baseline,req_text_noout,0,True,False,False,True,baseline_success,
3,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/baseline_valid.der -pubkey -noout,csr_der,baseline,req_pubkey_noout,0,True,False,False,True,baseline_success,
4,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/valid_plus_malformed_tail.der -noout,csr_der,tail,req_noout,0,False,False,False,True,app_level_accepts_valid_prefix_with_malformed_tail,
5,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/valid_plus_malformed_tail.der -text -noout,csr_der,tail,req_text_noout,0,True,False,False,True,app_level_accepts_valid_prefix_with_malformed_tail,
6,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/valid_plus_malformed_tail.der -pubkey -noout,csr_der,tail,req_pubkey_noout,0,True,False,False,True,app_level_accepts_valid_prefix_with_malformed_tail,
7,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/malformed_only.der -noout,csr_der,malformed_only,req_noout,1,False,True,False,False,malformed_only_rejected,4047B96A3F780000:error:0680007B:asn1 encoding routines:ASN1_get_object:header too long:crypto/asn1/asn1_lib.c:105: Unable to load X509 request
8,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/malformed_only.der -text -noout,csr_der,malformed_only,req_text_noout,1,False,True,False,False,malformed_only_rejected,4007F41D237B0000:error:0680007B:asn1 encoding routines:ASN1_get_object:header too long:crypto/asn1/asn1_lib.c:105: Unable to load X509 request
9,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl req -config artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/work/openssl-req-der-tail-csr-boundary.cnf -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/csr_der/malformed_only.der -pubkey -noout,csr_der,malformed_only,req_pubkey_noout,1,False,True,False,False,malformed_only_rejected,40A712C1ED7F0000:error:0680007B:asn1 encoding routines:ASN1_get_object:header too long:crypto/asn1/asn1_lib.c:105: Unable to load X509 request
10,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl crl -inform DER -in artifacts/triage/ossl_store_full_consumption/csr_crl_boundary/inputs/crl_der/baseline_valid.der -noout,crl_der,baseline,crl_noout,0,False,False,False,True,baseline_success,
