command_id,command,input_kind,input_case,command_name,exit_code,stdout_nonempty,stderr_nonempty,output_file_created,output_file_nonempty,accepted_rejected,verdict,stderr_excerpt
1,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl x509 -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/x509_der/baseline_valid.der -fingerprint -noout,x509_der,baseline,x509_fingerprint,0,True,False,False,False,accepted,baseline_success,
2,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl x509 -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/x509_der/baseline_valid.der -outform PEM -out artifacts/triage/ossl_store_full_consumption/minimal_reproducer/outputs/x509_baseline.pem,x509_der,baseline,x509_export_pem,0,False,False,True,True,accepted,baseline_success,
3,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl x509 -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/x509_der/valid_plus_malformed_tail.der -fingerprint -noout,x509_der,tail,x509_fingerprint,0,True,False,False,False,accepted,app_level_accepts_valid_prefix_with_malformed_tail,
4,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl x509 -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/x509_der/valid_plus_malformed_tail.der -outform PEM -out artifacts/triage/ossl_store_full_consumption/minimal_reproducer/outputs/x509_tail.pem,x509_der,tail,x509_export_pem,0,False,False,True,True,accepted,app_level_accepts_valid_prefix_with_malformed_tail,
5,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl x509 -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/x509_der/malformed_only.der -fingerprint -noout,x509_der,malformed_only,x509_fingerprint,1,False,True,False,False,rejected,malformed_only_rejected,Could not find certificate from artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/x509_der/malformed_only.der
6,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl x509 -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/x509_der/malformed_only.der -outform PEM -out artifacts/triage/ossl_store_full_consumption/minimal_reproducer/outputs/x509_malformed_only.pem,x509_der,malformed_only,x509_export_pem,1,False,True,False,False,rejected,malformed_only_rejected,Could not find certificate from artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/x509_der/malformed_only.der
7,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/pkcs8_der/baseline_valid.der -pubout -out artifacts/triage/ossl_store_full_consumption/minimal_reproducer/outputs/pkey_baseline_pub.pem,pkcs8_der,baseline,pkey_pubout,0,False,False,True,True,accepted,baseline_success,
8,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkcs8 -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/pkcs8_der/baseline_valid.der -nocrypt -outform PEM -out artifacts/triage/ossl_store_full_consumption/minimal_reproducer/outputs/pkcs8_baseline.pem,pkcs8_der,baseline,pkcs8_convert_pem,0,False,False,True,True,accepted,baseline_success,
9,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/pkcs8_der/valid_plus_malformed_tail.der -pubout -out artifacts/triage/ossl_store_full_consumption/minimal_reproducer/outputs/pkey_tail_pub.pem,pkcs8_der,tail,pkey_pubout,0,False,False,True,True,accepted,app_level_accepts_valid_prefix_with_malformed_tail,
10,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkcs8 -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/pkcs8_der/valid_plus_malformed_tail.der -nocrypt -outform PEM -out artifacts/triage/ossl_store_full_consumption/minimal_reproducer/outputs/pkcs8_tail.pem,pkcs8_der,tail,pkcs8_convert_pem,0,False,False,True,True,accepted,app_level_accepts_valid_prefix_with_malformed_tail,
11,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl pkey -inform DER -in artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/pkcs8_der/malformed_only.der -pubout -out artifacts/triage/ossl_store_full_consumption/minimal_reproducer/outputs/pkey_malformed_only_pub.pem,pkcs8_der,malformed_only,pkey_pubout,1,False,True,False,False,rejected,malformed_only_rejected,Could not find private key of key from artifacts/triage/ossl_store_full_consumption/minimal_reproducer/inputs/pkcs8_der/malformed_only.der
