case_id,input_kind,mutation,command_name,command,exit_code,stdout_nonempty,stderr_nonempty,output_file_created,output_file_nonempty,accepted,verdict,stdout_has_object_marker,output_file_has_object_marker,stderr_excerpt
x509_der_baseline_empty_storeutl,x509_der,baseline_empty,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/x509_der_baseline_empty.der,0,True,False,False,False,True,baseline_accepts_clean_object,True,False,
x509_der_malformed_partial_sequence_storeutl,x509_der,malformed_partial_sequence,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/x509_der_malformed_partial_sequence.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
x509_der_malformed_oversized_len_storeutl,x509_der,malformed_oversized_len,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/x509_der_malformed_oversized_len.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
x509_der_malformed_indefinite_len_storeutl,x509_der,malformed_indefinite_len,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/x509_der_malformed_indefinite_len.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
x509_der_truncated_integer_storeutl,x509_der,truncated_integer,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/x509_der_truncated_integer.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
x509_der_truncated_bit_string_storeutl,x509_der,truncated_bit_string,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/x509_der_truncated_bit_string.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
x509_der_bad_asn1_tag_storeutl,x509_der,bad_asn1_tag,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/x509_der_bad_asn1_tag.der,0,True,True,False,False,True,app_command_accepts_with_warning,True,False,406787856E750000:error:1608010C:STORE routines:ossl_store_handle_load_result:unsupported:crypto/store/store_result.c:160:provider=default
x509_der_valid_null_then_malformed_seq_storeutl,x509_der,valid_null_then_malformed_seq,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/x509_der_valid_null_then_malformed_seq.der,0,True,True,False,False,True,app_command_accepts_with_warning,True,False,40F78B6ECC7F0000:error:1608010C:STORE routines:ossl_store_handle_load_result:unsupported:crypto/store/store_result.c:160:provider=default
pkcs8_der_baseline_empty_storeutl,pkcs8_der,baseline_empty,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_baseline_empty.der,0,True,False,False,False,True,baseline_accepts_clean_object,True,False,
pkcs8_der_malformed_partial_sequence_storeutl,pkcs8_der,malformed_partial_sequence,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_malformed_partial_sequence.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pkcs8_der_malformed_oversized_len_storeutl,pkcs8_der,malformed_oversized_len,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_malformed_oversized_len.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pkcs8_der_malformed_indefinite_len_storeutl,pkcs8_der,malformed_indefinite_len,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_malformed_indefinite_len.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pkcs8_der_truncated_integer_storeutl,pkcs8_der,truncated_integer,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_truncated_integer.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pkcs8_der_truncated_bit_string_storeutl,pkcs8_der,truncated_bit_string,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_truncated_bit_string.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pkcs8_der_bad_asn1_tag_storeutl,pkcs8_der,bad_asn1_tag,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_bad_asn1_tag.der,0,True,True,False,False,True,app_command_accepts_with_warning,True,False,40171BE145710000:error:1608010C:STORE routines:ossl_store_handle_load_result:unsupported:crypto/store/store_result.c:160:provider=default
pkcs8_der_valid_null_then_malformed_seq_storeutl,pkcs8_der,valid_null_then_malformed_seq,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pkcs8_der_valid_null_then_malformed_seq.der,0,True,True,False,False,True,app_command_accepts_with_warning,True,False,40D7796217730000:error:1608010C:STORE routines:ossl_store_handle_load_result:unsupported:crypto/store/store_result.c:160:provider=default
pubkey_der_baseline_empty_storeutl,pubkey_der,baseline_empty,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_baseline_empty.der,0,True,False,False,False,True,baseline_accepts_clean_object,True,False,
pubkey_der_malformed_partial_sequence_storeutl,pubkey_der,malformed_partial_sequence,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_partial_sequence.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
pubkey_der_malformed_oversized_len_storeutl,pubkey_der,malformed_oversized_len,storeutl,/home/wen/work/clean_sources/openssl-3.5.5/apps/openssl storeutl artifacts/triage/ossl_store_full_consumption/inputs/pubkey_der_malformed_oversized_len.der,0,True,False,False,False,True,app_command_accepts_malformed_tail,True,False,
